text,Sport specific mention,Equal opportunities / good opportunities in general,Physical contact/Masculine,Earnings related,Popularity and impact,Equal representation,Inclusive sport participation,Gender Equality,Women in Sports,Female representation,Discrimination themes,Media visibility / awareness,Other,Country,Gender,Most inclusive Sport,Age,Least inclusive Sport,ResponseId
There seems to be more females in gymnastics,1,,,,,,,,,,,,,Poland,Woman,Gymnastics,35-44,Rugby,155086637
There are many women in this field,,,,,,,,,1,1,,,,Poland,Woman,Gymnastics,25-34,Rugby,155086639
Because we talk about women as much as men,,,,,,,,,,1,,,,France,Woman,Tennis,18-24,Cycling,155086646
is good for everyone,,,,,,,1,,,,,,,Poland,Woman,Tennis,45-54,Football,155086652
Football players earn much more than female footballers,1,,,,,,,,,,,,,Poland,Man,Football,35-44,Tennis,155086655
We see as many men as women there,,,,,,,,,,1,,,,France,Woman,Gymnastics,35-44,Rugby,155086658
Because volleyball is successfully played by both women and men,1,,,,,,,,,,,,,Poland,Woman,Volleyball,35-44,Rugby,155086671
There is and always has been a good gender ratio,,,,,,,,,,,,,1,UK,Woman,Tennis,45-54,Rugby,155086673
They put men before women,,,,,,,,,,,,,,France,Woman,Football,18-24,Gymnastics,155086677
There are also women on the council,,,,,,,,,,1,,,,Poland,Woman,Handball,25-34,Football,155086682
Very good,,,,,,,,,,,,,1,Poland,Woman,Volleyball,35-44,Handball,155086690
They're doing well,,,,,,,,,,,,,1,Poland,Woman,Handball,25-34,Volleyball,155086691
Because women become famous because of their performance and not as women who are good at a man’s sport,,,,,1,,,,,,,,,Germany,Woman,Gymnastics,25-34,Football,155086692
I've seen plenty of women in the sport who are treated similarly to men.,,,,,,,,,,1,,,,UK,Woman,Volleyball,18-24,Basketball,155086696
For Rubiales' kiss,,,,,,,,,,,,,1,Spain,Man,Football,35-44,Tennis,155086697
Everyone can participate,,,,,,,1,,,,,,,Poland,Woman,Gymnastics,45-54,Rugby,155086705
It tends to be more for the female sector,,,,,,,,,,1,,,,Spain,Man,Gymnastics,35-44,Football,155086706
Because it is similar when it comes to square footage,,,,,,,,,,,,,1,Poland,Man,Tennis,25-34,Rugby,155086710
Both genders are most likely to be present in the media,,,,,,,,,,,,1,,Germany,Woman,Athletics,35-44,Gymnastics,155086716
It is equally appreciated and paid regardless of gender,,,,,,,,1,,,,,,Poland,Woman,Tennis,55-65,Golf,155086723
men and women participate in the same competitions on equal terms,,,,,,,,1,,,,,,Poland,Woman,Tennis,55-65,Rugby,155086725
men's and women's professions are perceived in the same way,,,,,,,,1,,,,,,Poland,Woman,Athletics,45-54,Rugby,155086728
I see diversity,,,,,,,1,,,,,,,Poland,Woman,Athletics,35-44,Football,155086733
It is practiced by women and men,,,,,,,,,,1,,,,Poland,Woman,Gymnastics,35-44,Rugby,155086735
I have seen both genders represented in this sport,,,,,,,1,,,,,,,UK,Woman,Gymnastics,35-44,Basketball,155086736
All sports fit this term - I don't see a problem in the sports world,,,,,,,,,,,,,1,Poland,Man,Tennis,35-44,Gymnastics,155086738
Men and women practice it,,,,,,,,,,1,,,,France,Man,Football,25-34,Gymnastics,155086743
Because there are so many people with captain's armbands and rainbow colors,,,,,,,,,,,,,1,Germany,Man,Football,18-24,Golf,155086746
Equality men women,,,,,,,,1,,,,,,Spain,Man,Basketball,35-44,Rugby,155086760
I am not interested in sports,,,,,,,,,,,,,1,Germany,Man,Golf,45-54,Football,155086765
Everyone can play with everyone and it will be fair,,,,,,,1,,,,,,,Sweden,Man,Golf,25-34,Rugby,155086766
just an impression,,,,,,,,,,,,,1,France,Man,Gymnastics,55-65,Rugby,155086770
Because,,,,,,,,,,,,,1,Poland,Woman,Basketball,25-34,Football,155086774
A lot of women work there in various positions,,,,,,,,,,1,,,,Poland,Man,Tennis,35-44,Football,155086775
It has always been both sex,,,,,,1,,,,,,,,UK,Woman,Tennis,35-44,Golf,155086776
Because it is women who achieve the greatest successes there,,,,,,,,,,1,,,,Poland,Man,Athletics,25-34,Rugby,155086780
Presence of mixed competitions,,,,,,,,,,,,,1,France,Man,Tennis,25-34,Gymnastics,155086782
I consider it a men's sport,,,,,,,,,,,,,1,Poland,Woman,Basketball,18-24,Tennis,155086784
Because all genders have the same access to this discipline,,,,,,,,1,,,,,,Poland,Man,Gymnastics,25-34,Golf,155086789
"In handball, teams of both genders are able to show their skills and achieve success.",,,,,,1,,,,,,,,Poland,Woman,Handball,35-44,Rugby,155086807
"No one is surprised by a woman or a man playing tennis, even together",1,,,,,,,,,,,,,Poland,Woman,Tennis,18-24,Gymnastics,155086818
"Women, and even LGBT people, are more exposed to gender inclusivity",,,,,,,1,,,,,,,Poland,Woman,Gymnastics,45-54,Golf,155086825
Hockey,,,,,,,,,,,,,1,Poland,Woman,Volleyball,25-34,Athletics,155086834
Mostly guys everywhere,,,,,,,,,,,,,1,Sweden,Woman,Football,18-24,Gymnastics,155086836
Because I think so.,,,,,,,,,,,,,1,Sweden,Man,Football,35-44,Golf,155086837
They manage equality in their powers,,,,,,,,1,,,,,,Spain,Man,Cycling,45-54,Golf,155086861
It does not require physical effort,,,1,,,,,,,,,,,Poland,Man,Golf,35-44,Rugby,155086862
most women practice gymnastics,1,,,,,,,,,,,,,Poland,Woman,Gymnastics,25-34,Rugby,155086867
Everyone has equal opportunities and access to a wide range of opportunities.,,1,,,,,,1,,,,,,Poland,Woman,Athletics,35-44,Rugby,155086872
Because women can play it,,,,,,,,,,1,,,,Poland,Woman,Football,18-24,Rugby,155086880
Because they are the same leagues,,,,,,,,1,,,,,,Poland,Man,Basketball,45-54,Golf,155086889
Fast,,,,,,,,,,,,,1,Germany,Woman,Football,35-44,Athletics,155086901
Everyone can play as much as they want,,,,,,,1,,,,,,,Poland,Woman,Handball,18-24,Golf,155086910
Everyone does it,,,,,,,1,,,,,,,UK,Man,Golf,18-24,Cycling,155086914
Same rules.,,,,,,,,1,,,,,,Poland,Man,Football,35-44,Gymnastics,155086918
because we have more female representatives in volleyball,1,,,,,,,,,,,,,Poland,Woman,Volleyball,35-44,Golf,155086928
The times are equal,,,,,,,,1,,,,,,UK,Woman,Football,25-34,Rugby,155086929
This discipline is probably practiced more often by women,,,,,,,,,,1,,,,Poland,Man,Gymnastics,35-44,Rugby,155086932
it feels very accepted with women's football teams,1,,,,,,,,,,,,,Sweden,Woman,Football,18-24,Rugby,155086933
Large lgtbi community,,,,,,,,,,,,,1,Spain,Man,Gymnastics,35-44,Rugby,155086935
Because I played myself when I was younger,,,,,,,,,,,,,1,Poland,Woman,Football,18-24,Tennis,155086937
It is not divided into men or the World Cup,,,,,,,,,,,,,1,Germany,Man,Athletics,55-65,Golf,155086950
I think that the athlete is valued for his quality on the court without taking into account his gender.,,,,,,,,,,,,,1,Spain,Man,Tennis,55-65,Rugby,155086966
Wimbledon,,,,,,,,,,,,,1,UK,Woman,Tennis,25-34,Golf,155086972
The media attention an athlete receives is not dependent on their gender,,,,,,,,,,,,1,,Sweden,Woman,Athletics,35-44,Rugby,155086973
many practice it,,,,,,,,,,,,,1,Spain,Man,Volleyball,35-44,Cycling,155086974
Because it's an individual sport,,,,,,,,,,,,,1,France,Man,Golf,55-65,Rugby,155086977
It has more visibility,,,,,,,,,,,,,1,Spain,Woman,Football,25-34,Rugby,155086982
THERE IS EQUAL PAY AND THE PLAYERS ARE TREATED EQUALLY,,,,1,,,,,,,,,,Spain,Man,Handball,25-34,Volleyball,155086998
Football,1,,,,,,,,,,,,,Sweden,Woman,Golf,25-34,Rugby,155087010
Because it is the most practiced,,,,,,,,,,1,,,,Spain,Woman,Football,45-54,Rugby,155087014
Many women participate in that type of sport,,,,,,,,,,1,,,,Sweden,Woman,Volleyball,25-34,Golf,155087015
It's the sexiest sport,,,,,,,,,,,,,1,Sweden,Man,Football,25-34,Cycling,155087027
Because many women also practice this sport at a high level,,,,,,,,,1,1,,,,Poland,Man,Football,35-44,Handball,155087036
It is so,,,,,,,,,,,,,1,Sweden,Man,Golf,25-34,Football,155087050
Anyone can do it,,,,,,,,,,,,,1,UK,Woman,Gymnastics,18-24,Rugby,155087055
I think you see as many women as men at the highest level,,,,,,,,,,1,,,,Sweden,Woman,Athletics,55-65,Rugby,155087062
the ladies started,,,,,,,,,,,,,1,Poland,Man,Gymnastics,55-65,Football,155087071
because it is,,,,,,,,,,,,,1,Poland,Man,Tennis,55-65,Football,155087088
It seems to me but I could be wrong,,,,,,,,,,,,,1,France,Man,Football,55-65,Golf,155087096
because men are better adapted to the conditions on the pitch,,,,,,,,,,,,,1,Poland,Man,Football,45-54,Basketball,155087106
It feels very fair,,,,,,,,,,,,,1,Sweden,Man,Handball,55-65,Football,155087109
I think so,,,,,,,,,,,,,1,Poland,Man,Volleyball,35-44,Golf,155087114
Because I think so,,,,,,,,,,,,,1,Germany,Woman,Football,35-44,Tennis,155087117
"Here, women’s and men’s competitions are given equal attention",,,,,,,,1,,,,,,Germany,Man,Athletics,55-65,Rugby,155087119
Women's football,1,,,,,,,,,,,,,Germany,Woman,Football,35-44,Cycling,155087125
Easy to do,,,,,,,,,,,,,1,UK,Woman,Tennis,18-24,Basketball,155087132
Always had both tournaments for a very long time,,,,,,1,,,,,,,,UK,Woman,Tennis,45-54,Handball,155087145
Is currently very popular,,,,,1,,,,,,,,,Germany,Man,Football,25-34,Rugby,155087158
Mostly women from the beginning who don't see anything strange about men also joining,,,,,,,,,,1,,,,Sweden,Woman,Gymnastics,25-34,Rugby,155087167
Athetes are considered the same way,,,,,,,,1,,,,,,France,Man,Athletics,45-54,Golf,155087169
"because according to its stats, its been inclusive of both genders",,,,,,,1,,,,,,,UK,Woman,Gymnastics,18-24,Rugby,155087173
Equal terms,,,,,,,,1,,,,,,Sweden,Woman,Athletics,45-54,Volleyball,155087182
this is all about performance,,,,,,,,,,,,,1,Germany,Man,Athletics,55-65,Handball,155087186
Very interesting,,,,,,,,,,,,,1,UK,Man,Football,35-44,Gymnastics,155087189
"Separate assessment, same entry",,,,,,,,1,,,,,,Germany,Woman,Athletics,45-54,Rugby,155087192
It has always been and they have mixed teams in relay.,,,,,,,,,,,,,1,UK,Man,Athletics,55-65,Basketball,155087205
It's seen as a multi sex sport,,,,,,,,,,,,,1,UK,Man,Gymnastics,25-34,Football,155087214
Because everyone can play ball,,,,,,,1,,,,,,,Sweden,Woman,Football,18-24,Rugby,155087226
Inclusive in terms of gender but does not pay women well,,,,1,,,1,,,,,,,France,Man,Cycling,35-44,Athletics,155087230
Several well-known athletes from this field have already gone public and this has certainly contributed to the fact that equality is further ahead in football than in other sports.,1,,,,,,,1,,,,,,Germany,Woman,Football,55-65,Rugby,155087234
Because there are many girls who practice it,,,,,,,,,,1,,,,Sweden,Man,Football,45-54,Rugby,155087235
Because women’s football has become very popular recently,1,,,,1,,,,1,1,,,,Germany,Woman,Football,45-54,Rugby,155087246
Highly watched. Wimbledon every year. Lot's of high profile female and male tennis players,1,,,,,,,,,,,,,UK,Man,Tennis,18-24,Golf,155087247
Everyone can play.,,,,,,,1,,,,,,,Poland,Man,Tennis,45-54,Rugby,155087248
I have a cat but no dog and,,,,,,,,,,,,,1,Germany,Man,Gymnastics,25-34,Rugby,155087251
It’s open for anyone to play,,,,,,,,,,,,,1,UK,Man,Basketball,45-54,Golf,155087268
women's football,1,,,,,,,,,,,,,Germany,Man,Football,18-24,Cycling,155087283
discipline favors,,,,,,,,,,,,,1,Poland,Man,Athletics,45-54,Rugby,155087290
Least non-inclusive,,,,,,,1,,,,,,,France,Man,Tennis,55-65,Football,155087297
yes with the spirit of sharing and union,,,,,,,,,,,,,1,France,Man,Rugby,55-65,Golf,155087311
They're always promoting it,,,,,,,,,,,,1,,France,Man,Football,45-54,Rugby,155087317
because football is one of the most interesting sports for all people,1,,,,,,,,,,,,,Germany,Woman,Football,55-65,Cycling,155087328
Men and women take part,,,,,,,,,,1,,,,UK,Man,Gymnastics,55-65,Handball,155087331
But you have to be,,,,,,,,,,,,,1,Sweden,Woman,Tennis,35-44,Golf,155087341
The thing is that men are worse at it,,,,,,,,,,,,,1,Poland,Man,Gymnastics,18-24,Cycling,155087345
Because there is men's and women's football,1,,,,,,,,,,,,,Germany,Man,Football,25-34,Gymnastics,155087352
Good training for women,,,,,,,,,,1,,,,UK,Woman,Athletics,45-54,Basketball,155087368
The money prizes are similar,,,,1,,,,,,,,,,UK,Man,Football,25-34,Golf,155087392
Because women are accepted there just as much as men,,,,,,,,,,1,,,,Germany,Woman,Football,55-65,Golf,155087394
My opinion,,,,,,,,,,,,,1,Germany,Man,Tennis,55-65,Basketball,155087408
Possible to compete against all genders,,,,,,,,,,,,,1,UK,Woman,Golf,55-65,Handball,155087424
Women are established,,,,,,,,,,1,,,,Germany,Man,Football,45-54,Basketball,155087449
Considered feminine,,,,,,,,,,,,,1,Sweden,Woman,Gymnastics,25-34,Football,155087454
Recognized achievements worldwide for generations,,,,,,,,,,,,,1,Germany,Man,Athletics,55-65,Football,155087458
That sport is not stereotyped in being dominated by one gender alone,,,,,,,,,,,,,1,Sweden,Woman,Athletics,35-44,Rugby,155087462
Men only,,,,,,,,,,,,,1,Sweden,Woman,Football,35-44,Volleyball,155087484
Women and men and others are treated equally,,,,,,,,1,,,,,,Germany,Man,Tennis,55-65,Basketball,155087486
I believe this is as a variety or genders are able to compete in athletics,,,,,,,,,,,,,1,UK,Woman,Athletics,25-34,Rugby,155087495
Women's handball teams receive funding and attention,,,,,,,,,,1,,,,Sweden,Woman,Handball,18-24,Golf,155087502
Bade sex bikes,,,,,,,,,,,,,1,Sweden,Woman,Cycling,45-54,Rugby,155087507
Yes i guess,,,,,,,,,,,,,1,UK,Man,Cycling,25-34,Golf,155087509
Because football has long been acceptable gender wise for so long,1,,,,,,,,,,,,,UK,Woman,Football,35-44,Handball,155087510
Athletics is not so important,,,,,,,,,,,,,1,Germany,Man,Volleyball,45-54,Cycling,155087513
Because I love watching football,1,,,,,,,,,,,,,Germany,Woman,Football,18-24,Cycling,155087520
Because the players are paid how much they watch,,,,,,,,,,,,,1,Germany,Man,Football,18-24,Cycling,155087523
Can play against each other,,,,,,,,,,,,,1,Sweden,Woman,Golf,25-34,Rugby,155087536
"Both men and women representing the sport. However, the sport as a whole is not equal based on being professionally involved in athletics compared to other sports.",,,,,,,1,,,,,,,Sweden,Woman,Athletics,35-44,Rugby,155087543
Equal coverage,,,,,,,,1,,,,,,UK,Woman,Athletics,25-34,Football,155087546
"Tennis is often considered the most gender-inclusive professional sport due to its equal prize money, visibility of both male and female athletes, and absence of gender-based rule differences.",1,,,1,,,1,,,,,,,UK,Man,Tennis,25-34,Golf,155087553
From a feeling point of view,,,,,,,,,,,,,1,Germany,Man,Athletics,45-54,Basketball,155087559
Just as many female matches are there are men also all broadcast on same channel same time of year,,,,,,,,,,,,1,,UK,Woman,Tennis,25-34,Golf,155087574
Both men and women have competed in tennis matches for a long time.,1,,,,,,,,,,,,,UK,Woman,Tennis,55-65,Rugby,155087576
The events are very similar and allows participation from all,,,,,,,,,,,,,1,UK,Man,Athletics,45-54,Cycling,155087589
Lots of women’s teams,,,,,,,,,,1,,,,UK,Woman,Football,35-44,Basketball,155087590
Anyone can participate,,,,,,,,,,,,,1,Germany,Man,Gymnastics,45-54,Basketball,155087600
Salaries are also slowly rising.,,,,,,,,,,,,,1,Germany,Man,Football,55-65,Rugby,155087601
Woman are respected as much as men,,,,,,,,,,,,,1,UK,Woman,Tennis,35-44,Handball,155087610
No women professional teams,,,,,,,,,,,,,,UK,Woman,Rugby,35-44,Gymnastics,155087613
Since they sometimes play together,,,,,,,1,,,,,,,Germany,Man,Tennis,45-54,Rugby,155087616
Because of FIFA World Cup Champion League and euro for women,,,,,,,,,,1,,,,Germany,Man,Football,45-54,Gymnastics,155087623
Is the most famous and popular,,,,,1,,,,,,,,,Germany,Woman,Football,55-65,Volleyball,155087630
"Everyone can wear what they want, everyone has the same requirements etc.",,,,,,,,1,,,,,,Germany,Woman,Tennis,18-24,Gymnastics,155087647
As there is a mix of men and women doing the same sports,,,,,,,,1,,,,,,UK,Woman,Gymnastics,45-54,Basketball,155087652
"Fewer prejudices, equal attention",,,,,,,,1,,,,,,Germany,Man,Gymnastics,25-34,Golf,155087654
Because I can name plenty of male and female athletes compared to other sports where I can only name men,,,,,,,,,,1,,,,UK,Woman,Athletics,35-44,Golf,155087657
As cycling is suited to all genders,,,,,,,,,,,,,1,UK,Man,Cycling,18-24,Handball,155087659
Because it has lots of male and remale sports people,,,,,,,,,,,,,1,UK,Woman,Gymnastics,45-54,Rugby,155087667
I feel that there is little discussion about it and it is seen more as a women's sport,,,,,,,,,,1,,,,Germany,Woman,Handball,55-65,Golf,155087680
I am sure that competition prizes are closest to men than any other sports,,,,1,,,,,,,,,,UK,Man,Tennis,45-54,Rugby,155087694
All genders are welcome to participate,,,,,,,,,,,,,1,UK,Woman,Athletics,55-65,Handball,155087695
"Since success depends on the individual athlete, there is more flexibility here.",,,,,,,,,,,,,1,Germany,Woman,Tennis,55-65,Football,155087704
Because many great gymnasts are women and women tend to be more flexible,1,,,,,,,,,1,,,,UK,Woman,Gymnastics,25-34,Golf,155087710
Because no one is discriminated against,,,,,,,,,,,1,,,Germany,Woman,Cycling,18-24,Golf,155087711
Because it is a sport that has been around for a long time and has come a long way,1,,,,,,,,,,,,,Sweden,Man,Gymnastics,35-44,Rugby,155087713
It’s the closest you can get,,,,,,,,,,,,,1,UK,Man,Athletics,45-54,Golf,155087716
All genders seem to be equal ranking in this sport,,,,,,,,1,,,,,,UK,Man,Gymnastics,55-65,Rugby,155087722
Just look at the different leagues and football on tv,1,,,,,,,,,,,1,,UK,Man,Football,45-54,Volleyball,155087731
Only men events are televised,,,,,,,,,,,,,1,UK,Man,Football,35-44,Handball,155087743
